ip,channel,strength,ssid,time,lat,lon,elat,elon,beacon
54:67:51:A0:C3:4E,6,-78,KabelBox-C1A8,1674268110,52.465292016,13.42369736,20.907,53.51,2052
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268110,52.465292016,13.42369736,20.907,53.51,1960
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268110,52.465292016,13.42369736,20.907,53.51,316
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268110,52.465292016,13.42369736,20.907,53.51,388
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268110,52.465292016,13.42369736,20.907,53.51,2084
54:67:51:7F:8F:65,6,-100,KabelBox-F76C,1674268110,52.465292016,13.42369736,20.907,53.51,2316
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268110,52.465292016,13.42369736,20.907,53.51,2144
DC:53:7C:F4:96:45,1,-100,KabelBox-0665,1674268110,52.465292016,13.42369736,20.907,53.51,4452
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1674268110,52.465292016,13.42369736,20.907,53.51,2648
58:90:43:69:22:15,1,-94,KabelBox-2210,1674268115,52.465292016,13.42369736,20.907,53.51,3884
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268115,52.465292016,13.42369736,20.907,53.51,4500
54:67:51:BA:CB:CE,1,-94,KabelBox-CCF0,1674268115,52.465292016,13.42369736,20.907,53.51,3756
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268115,52.465292016,13.42369736,20.907,53.51,2032
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268115,52.465292016,13.42369736,20.907,53.51,2452
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268115,52.465292016,13.42369736,20.907,53.51,396
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268115,52.465292016,13.42369736,20.907,53.51,364
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268115,52.465292016,13.42369736,20.907,53.51,2268
54:67:51:7F:8F:65,6,-100,KabelBox-F76C,1674268115,52.465292016,13.42369736,20.907,53.51,2396
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268115,52.465292016,13.42369736,20.907,53.51,2636
DC:53:7C:F4:96:45,1,-100,KabelBox-0665,1674268115,52.465292016,13.42369736,20.907,53.51,4532
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268115,52.465292016,13.42369736,20.907,53.51,2640
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268115,52.465292016,13.42369736,20.907,53.51,2708
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1674268115,52.465292016,13.42369736,20.907,53.51,4568
58:90:43:69:22:15,1,-94,KabelBox-2210,1674268119,52.465292016,13.42369736,20.907,53.51,3612
